C 106	
12.853285 	6.127461 
12.893640 	5.853048 
H	25
15.008935 	8.339604 
15.926077 	8.339604 
16.313602 	8.442944 
16.778631 	8.727129 
17.127403 	9.101736 
17.695773 	9.579683 
18.289977 	9.863868 
19.000439 	9.812198 
19.530056 	9.876785 
19.852993 	10.160970 
19.865910 	10.729339 
19.594643 	11.142699 
19.220036 	11.388131 
18.755007 	11.452719 
18.302895 	11.297709 
17.967040 	11.181451 
17.682855 	10.961854 
17.411588 	10.638917 
17.088651 	10.264310 
16.520281 	10.122217 
16.000000 	10.000000 
15.654810 	9.876785 
15.241450 	9.528013 
15.021853 	9.153406 
14.905595 	8.778799 
H	24
14.492236 	11.155616 
15.008935 	11.543141 
15.241450 	12.085675 
15.331873 	12.602375 
15.215615 	12.796137 
14.944348 	12.860725 
14.543906 	12.899477 
14.298474 	13.222414 
14.182216 	13.874438 
14.104711 	14.229978 
13.766105 	14.626196 
13.267503 	14.952867 
12.734763 	15.099373 
12.209324 	15.122218 
11.775266 	14.825231 
11.569659 	14.345482 
11.901993 	13.816496 
12.318749 	13.423554 
12.640246 	13.090150 
12.699783 	12.732930 
12.616432 	12.363803 
12.664061 	11.839882 
13.116539 	11.435033 
13.819070 	11.220701
